,Unnamed: 0,transcript
31,31,"As Mike mentioned earlier, we are continuing to invest in our Mexico consumer franchise to drive sustainable growth, with initiatives to enhance our branch network, digital capabilities and service offerings."
32,32,"the early stage of our organic cards investments, the expenses we were absorbing on Costco before we had the full benefit of the revenues on that portfolio"
33,33,And Wealth Management revenues continue to recover with improving investor sentiment.
34,34,"while we still face some headwinds, we feel good about the direction of the consumer franchise."
35,35,"The TTS business remains core to our institutional strategy, delivering integrated solutions"
36,36,"However, we also expect NCLs to be higher as the Costco portfolio begins to incur losses and we continue to see the impact of volume growth."
37,37,we set out. A good piece of that will come from continued business growth and
38,38,"the positives? In other words, is that how the hedges will work? And we'll just have to deal with the negative line when things are going well?"
39,39,"a number of -- or really, all of our important renegotiations behind us, and so that's now done. And the third piece is that we've got our products in place."
40,40,Can you still kind of get efficiency savings to kind of fund a lot of that and keep expenses reasonably flat? Or how do I think about that?
41,41,translating or manifesting itself into significant changes.
42,42,I think what I heard you say is you're in the late innings for the card investments but in the early innings for additional Mexican investments.
43,43,in the cards business. We've got the positive operating leverage now in our Asia consumer business and in our Mexico consumer business.
44,44,"And Mike, on each of those, I would add to what John said, we talked about it in cards. We haven't necessary talked about it the same way in Mexico, but it holds true that a lot of the cards spend we needed to do was catch-up,"
45,45,to generate significant amounts of capital and to continue to address the denominator problem that we have in terms of continuing
46,46,"Okay. Great. And just a follow-up. I just wanted to make sure I understood your response to John's question correctly when he was asking about card. Just taking a step back, as we think about"
47,47,But we want to make sure we're there on the forefront in terms of having that technology in place and having to -- having the ability to convert as people care to do that.
48,48,"There's been a lot of commentary about potential costs. But I guess I'm just curious on the revenue side, how are you thinking about -- how that might play out over the next couple of quarters."
49,49,"And when the time is right, we'll make a decision of ultimately what we're going to do. But we'd like to benefit of as much information as possible before we make that decision, and we just don't have it today."
50,50,that would cause us to change our view as to where we can drive the cards business over time.
51,51,"But it is -- it still is generating new accounts at a faster rate than we thought it was going to. And just like with everything else with the Costco portfolio, I think we'll know more"
52,52,"In both our consumer and institutional businesses, we continued to grow both loans and deposits."
53,53,"Economic projections have improved somewhat recently, particularly in places like Brazil and Russia, which may soon return to positive growth."
54,54,"And now with the right footprint and infrastructure in place, we are beginning to invest for additional growth"
55,55,"Turning to Costco. The early results continue to be very encouraging. New account acquisitions have far exceeded our expectations at nearly 800,000 to date."
56,56,"up 2% sequentially, which offset the absence of 2 portfolios we sold in the first quarter as well as the impact of renewing and extending several partnerships."
57,57,"We expect to maintain positive operating leverage next quarter and each year throughout the investment period, driven by revenue growth"
58,58,and abating regulatory headwinds. Retail lending revenues remained under pressure as we continued to shift our portfolio away from lower-return mortgage loans this quarter.
59,59,"On a comparable basis, card revenues in Latin America would have been down 3% versus last year, reflecting the continued impact of higher payment rates."
60,60,and the impact of significant repositioning charges in the first quarter of this year.
61,61,to our multinational clients and deepening our operating relationships with them across multiple products and markets.
62,62,"Looking to the fourth quarter, we expect NIM to remain relatively flat to this level. On Slide 14, we show our key capital metrics."
63,63,in some of the slides we used at the Financial Services Conference early in
64,64,"We've got our cash back in place. We've got our global rewards program in place, and we've built and put those out there. And now it's really supporting and driving growth, and a lot of what you've seen is now turning toward -- is the increase in terms of marketing"
65,65,"before I made any comments, and I'd certainly would like to see"
66,66,"hold ourselves to our commitment to deliver. Our people are certainly committed around that. And obviously, it's probably -- in this kind of environment, just take a little bit of time."
67,67,"And even though in -- certainly, in Mexico, this is 2 quarters in a row now of positive operating leverage. We've said that we intend to have positive operating leverage in Mexico in the fourth quarter."
68,68,that we were in a position or weren't a position through the crisis to be making those investments that we
69,69,"consistently constructive in terms of Mexico at the broad level as well as our franchise in Mexico. And in a world, certainly, for my opinion where growth -- topline growth is going to remain tough,"
70,70,"loan demand is reasonable. But again, as we think about the extension of loans, we're facilitating a client relationship with the extension of that loan."
71,71,"Well, starting at one is I don't have the statistics in front of me. But when you look at"
72,72,And so we've got flexibility. We've got our passport bank already established in Ireland. We've got the pipes connected
73,73,"Okay. And then just finally for me. In terms of the net interest margin, you expect that to be stable in the fourth quarter?"
74,74,"have a quick question on the Costco. You mentioned the new account openings. But can you give some color on the progression of those new account openings? Like, are you at a run rate right now where you can say this is about on average what we're opening per week or per month?"
75,75,"lower amount of promotional balances now, so that's enabled us to -- some of that is because the promotional balances have run off. But a lot of that is because these promotional balances now have converted into full rate"
76,76,to be able to return the capital that we're generating to our shareholders. And so
77,77,"clearly, the oil markets have stabilized dramatically from the first quarter. Are you guys seeing any opportunities to grow the energy business"
78,78,very good deposit growth in the ICG business in the quarter on a sequential basis. Did the change in the money market mutual funds have any impact on that growth? Not that we can see.
79,79,which are based on management's current expectations and are subject to uncertainty and changes in circumstances.
80,80,The remainder of our branded cards portfolio as well as retail services also delivered modest revenue growth as did our more focused retail branch network.
81,81,"Consistent with our strategy, we continue to shift our resources to where they can generate the best returns for our investors."
82,82,"However, we were able to offset some of this impact through underlying business growth."
83,83,"On Slide 4, we show the split between Citicorp and Citi Holdings. Citicorp was again the predominant driver of profitability in the third quarter,"
84,84,"and the estimated impact of newly proposed regulatory guidelines on third-party collections, which I'll describe more in a moment."
85,85,"by enhancing our segmentation strategy focused on the Citigold wealth management platform,"
86,86,"We expect the loss rate on Costco to be lower than the existing portfolio, but this benefit will likely be offset by the impact of seasoning as well as the estimated impact of the proposed regulatory guidelines I just mentioned."
87,87,as well as cost savings from upgrading and standardizing our technology platforms. Turning to Asia.
88,88,"even excluding that transaction, we continue to show progress in our existing franchise with organic growth in purchase sales, average loans and revenues this quarter."
89,89,"With continued growth in purchase sales and average loans, we expect Latin America card revenues to return to sustainable growth in the second half of next year."
90,90,"Now in the third quarter, you can see that we're beginning to build momentum again."
91,91,"by previously existing reserves. And we also saw a net benefit from ratings upgrades,"
92,92,"While these positions provide an economic hedge and help us manage concentrations to any particular client, sector or region,"
93,93,"reflecting the absence of certain episodic costs, lower compensation expense and other efficiency savings, partially offset by seasonally higher marketing expenses and ongoing investment spend."
94,94,and the rest of it will come as we continue to increase the amount of capital that we're able to return to our shareholders.
95,95,and really trying to drive volumes towards -- and client acquisition towards those cards. And that's probably the spending that you continue to see from this point forward.
96,96,"what scenario we're going to be looking at in next year's CCAR test. So there's a few things that, I think, Mike and I would like to be able to work our way through before"
97,97,"I would say, and I don't put this out there as an excuse, but I think it is a reality that in a very challenged"
98,98,"Mike, I really do appreciate all the color there. And switching gears for a moment, just moving on to the capital side. I recognize some reluctance to speak"
99,99,"We have not yet begun to really contemplate exactly how much cushion we need around that because, again,"
100,100,"And the first relates to operating leverage, which this year is negative 400 basis points according to your Slide 3. That would be"
101,101,"we said going into the year that this year, because of the cards investments and the fact that the cards investments impact us both on a revenue as well as expense line,"
102,102,"And then on a going-forward basis, the way we're looking at it right now, even with the investment spend that we want to do, we do believe that we'll be able to generate positive operating leverage in our Mexico consumer business"
103,103,"And so as our clients need to expand and grow around the world, we're there to support them."
104,104,"if you went down there and looked, Betsy, is getting these branches up to where they should be from an appearance, from a technology"
105,105,branch transactions in Mexico and the way
106,106,Could you give us a more specific number just for that? Because that really is kind of a setup in a sense of a change or unusual build that wouldn't recur as you move forward.
107,107,"which are subject to certain risks and uncertainties. For a complete discussion of these risks and uncertainties, we encourage you to read the company's press release and our documents on file with the SEC."
108,108,We sold a record 3.2 million tons in oil and gas during the quarter despite some customers taking extended time off during the holidays.
109,109,We continue to see very strong demand for Sandbox services and believe that we have about 17% market share of last mile sand logistics today.
110,110,"When our expansion work is completed sometime this summer, I believe we will offer our customers something that no one else can, a diverse local, regional and national footprint,"
111,111,"And along with paying our dividend, we believe these are key ways for the company to enhance shareholder value."
112,112,And the reason is that we've continued to increase the number of boxes per crew as sand intensity
113,113,I think it's one of the reasons that customers have come to us and wanted to sign additional contracts. I mentioned in my prepared remarks we now have more than 30 contracts. If you look back
114,114,might spot pricing fall below where you're contracted due to the capacity additions expected over the next several months?
115,115,"We also experienced periodic disruptions in our business due to the extreme winter weather. For Sandbox,"
116,116,Our Industrial and Specialty Products business continued to outperform the overall market.
117,117,"the ability to provide a ground-to-ground solution from the mine to the well and a supply chain network that delivers unmatched choices, coverage and flexibility."
118,118,"As previously discussed, our target is to be between 70% and 80% contracted, leaving some flexibility to sell a portion of our total tons on the spot market"
119,119,"We provide our customers with a single price per ton, which includes sand, transportation to the well and real-time delivery into the blender on site at the well."
120,120,"making acquisitions in attractive adjacent markets that have favorable market structures, increasing sales in new end uses and continuing to launch new value-added products from a pipeline of some 30 potential opportunities."
121,121,"As a result, we believe first quarter volumes and pricing will be flat and contribution margin per ton down sequentially. We believe these issues are transitory and in fact, we've already seen a pickup in February activity."
122,122,"has gone up. And also embedded in some of our previous capital spend, we're taking existing fleets up to the number of boxes that we need to run these high sand intensity wells."
123,123,other people trying to get into the last mile. So we just have to balance off that sort of theoretical view that there'd be more profitability with the reality of
124,124,rank order your preferences for capital deployment. You also have gross projects going on. So
125,125,mold that we build Northern mines. We're putting a lot of new sort of wrinkles and features into them.
126,126,Please refer to yesterday's press release or our public filings for a full reconciliation of adjusted EBITDA to net income
127,127,when the market periodically tightens as we experienced earlier this month with the rail disruptions on the Canadian National Railway.
128,128,"Further, we guarantee that customers never have to wait for sand, and in return, we can earn bonus payments if we meet certain performance-based metrics."
129,129,Now let me turn to our business outlook for this year. I think 2018 is shaping up to be an outstanding year for both of our operating segments.
130,130,"This represents a 7% increase sequentially when compared with the third quarter of 2017, driven by a combination of higher pricing and record volumes, which benefited from the first full quarter results"
131,131,"Due to the newly enacted government tax legislation, we recorded a deferred"
132,132,"system scales pretty well in terms of capital efficiency because if you just have to add more boxes and you don't have to add some of the other support equipment, like you could still do it with 1 forklift and"
133,133,And so as we transition from the last couple of quarters where we didn't have quite as much contract coverage to
134,134,And I think that reflects the confidence that the customers have in U.S. Silica to deliver and whether it's
135,135,"to do business with someone like us who not only has the local mines, but also has"
136,136,"a differentiation in terms of quality and service. I look at the quality that we're getting out of Crane County right now, and"
137,137,"Finally, I'll comment on the outlook for our key markets. Don Merril will then provide additional color on our financial performance for the quarter and for the full year before we open up the call for your questions."
138,138,We think this new service offering will be particularly attractive for customers who sell -- source sand and want assurances of supply
139,139,for our noncontract customers. And we also expect to complete a few strategic acquisitions during the year in ISP with at least one of a substantial size relative to our current business.
140,140,"the first few quarters here in '18, we'll see some balance. That small piece that we still have to sell in the spot market, prices should be going up."
141,141,"Oil and Gas is usually pretty strong in March as well. The weather starts to warm up, and so that helps our cost a bit at our plants as we don't have to fight the cold weather there. So"
142,142,"Great. One last one for me. For Crane and Lamesa, are there any plans to forward stage sand at a transload before going to the well side? Or is that not something that you all are thinking about at this juncture?"
143,143,"Just a follow-up, can you talk to the amount of capacity at Tyler that is contracted and maybe just what you're seeing on the demand side"
144,144,I think what we're going to here in the coming months is that you can talk about opening up a mine. But actually doing it and consistently getting product out to customers in a way that you don't disappoint them is not as easy as it looks.
145,145,Thank you for taking the time out of your busy schedules to attend NEXON's earnings presentation.
146,146,"Our operating income more than doubled and our net income nearly tripled from 2016. This excellent performance was driven by our key titles across the regions,"
147,147,to give you a sense of size the largest movie franchise of all time is Star Wars going back to 1977. And
148,148,or few quarters but about hard decisions we made a year or more ago.
149,149,"or the business model of even the most basic innovation, we believe that sustainable growth can only come from relentlessly reinventing our business and including the definition of what a game"
150,150,He will oversee the global business and operations with primary focus outside of Korea.
151,151,"as we grow our product lineup. Lastly, I'd like to touch on our business in the west."
152,152,"But those factors were offset by the impairment loss on items including goodwill on subsidiaries, prepaid royalties for publishing titles"
153,153,"Say OVERHIT as an example, not only in Korea but it will be very popular in other parts of the world, especially in Japan, at least that is our take."
154,154,Some people here in this room might use Siri or an equivalent technology from Google.
155,155,"about the exception to that rule. It sometimes goes a little bit down, sometimes it goes up, but it is following this general trend that is either very, very stable over time or increasing over time."
156,156,We have multiple titles in our pipeline and we are conducting our development.
157,157,"Some of you remember those questions from the time of the IPO and we said respectfully, we have no Facebook strategy, because we think Facebook is a terrible platform."
158,158,"The second thing I'd say is that if you take 1 or 2 of the big games out of eSports, people would be a whole lot less enthusiastic and those games are League of Legends"
159,159,"The gamers themselves determine that, the company doesn't determine that. And there have been a lot of examples where a company has designed what they thought was an eSports game and it just hasn't worked out."
160,160,"Again, thank you very much for joining us today."
161,161,"Today's presentation will be available on our IR website within a few days. Lastly, please make sure"
162,162,The early integration between NEXON and Pixelberry has been going very well and we've been integrating our advanced data analytics platform with Pixelberry's game operation servers.
163,163,"The game is set in a primitive universe inhabited by dinosaurs. Players explore, hunt, collaborate and fight in an effort to survive and build societies both with and against other players."
164,164,We have recently made several changes to our Western organization by centralizing and integrating some of our operations there to better serve our Western player base.
165,165,We completed our acquisition of Pixelberry in late November and we consolidated about a month of its in the fourth quarter.
166,166,as well as execute business and make judgment with a speed by delegating decision making authority for business execution to the Executive Directors.
167,167,at the situation after the Lunar New Year. But when you look at 2017 full year
168,168,So we launch new titles in Korea and we try to launch in other parts of the world once we deem it is a fit for other parts of the world as well.
169,169,"But the idea that you could talk to your game as a form of input-output, when combined with a game like Choices could be pretty interesting when you think about a virtual friend or a virtual boyfriend or girlfriend."
170,170,things are going to be more and more portable. I also think that the console companies are thinking differently about their business than they were even a few years ago. And I think -- in fact Nintendo was a leader when you look at the Switch
171,171,I think it's -- the short answer to your question is it's just way too early to tell.
172,172,"from benchmarks that we usually look at, because it is so different. I would anticipate or we will get a whole lot of"
173,173,"the reality of that are, definitionally, you can't look to comparisons to other experiences you've had and that's just a function of being a pioneer and that's what we are with this game."
174,174,"would probably be the biggest one and may be Overwatch as well. But if you took 1 or 2 of those games out, I think it would be a lot harder for"
175,175,"So, when you look at a game you have to watch what the players are doing and are they playing and broadcasting that online. So those are a mishmash of different comments about the future of eSports. I'm not sure if that's helpful. But"
176,176,to surprise many industry observers showing annuity-like performance
177,177,Like many of NEXON's and the industry's biggest hits the game's surface level simplicity you see on the video masks great depth underneath the surface.
178,178,Durango expands the definition of what a mobile game can be. There is nothing like it on mobile anywhere in the world.
179,179,We were pleased that revenues were at the high end of our outlook for the quarter.
180,180,Revenues from our China business in the fourth quarter exceeded our expectations.
181,181,We'll disclose the details including the appointment of directors and amendments to the Articles of Incorporation related to the transition as soon as they are determined.
182,182,user base is very stable and it grew dramatically last year and also we were able to conduct
183,183,and I understand that the launch of these games were successful.
184,184,"I think if you project out 5 years from now, 10 years from now, it's completely within the realm of possibility that we'll be talking to our games"
185,185,about the idea of bringing something that used to exist in a living room and bring that portably with you around. So
186,186,games. Console games used to be primarily single player or group player games and
187,187,"mobile users who would otherwise play much more simple games as an example, and some of those people will see,"
188,188,the demand for the game and given that it is such a deep rich game overwhelms
189,189,"Therefore, I believe that we can operate this team for a long time."
190,190,sometime myself. But I think the point that people miss is it's primarily a PC
191,191,It can make for some very good viewing. And -- so I think
192,192,Thank you also for those of you who are joining us remotely through the live broadcast.
193,193,year after year that much more closely resembles a software as a service model than a typical entertainment industry pattern.
194,194,"The game has continued to perform well, fundamentally because our live game teams have taken a long view, focusing on bringing its millions of customers back over a period of many years rather than driving near-term revenues."
195,195,Both the game and the company exemplify the kind of innovative thinking that is the hallmark of all great advancers in games in broader media.
196,196,I'd like to show you some gameplay video of Durango which we launched 2 weeks ago in Korea.
197,197,Durango reflects our development team's relentless focus on thinking differently about games and about reaching beyond the typical conventions and genres in our industry.
198,198,"Jung-hun has held various leadership positions in NEXON Korea and led the launch and success of the FIFA Online 3 franchise as well as the successful launch of various mobile games including HIT,"
199,199,"The high end of the range reflects the fact that we expect the impact of positive drivers to be larger than the negative drivers,"
200,200,How do you plan to nurture these titles? Each game is quite different in nature.
201,201,you mentioned about the investment in the past and I am quite interested in it.
202,202,And we think that that's helped in already even without integrating much of our user acquisition and metrics -- or analytics technology into the game. It's helped to perform very well since we purchased the company already.
203,203,"as if they were virtual -- we'll be talking to virtual characters in the game because voice recognition is getting very, very good."
204,204,So could you talk about the background and also in order to repeat this with other titles
205,205,that is available for viewing on our IR website that you might have seen. But I think that
206,206,But the problem with the model and that mental model is that it's not always true and the exceptions to that model are massive.
207,207,that was in fact our single biggest question that was asked of us during the IPO road show
208,208,more and more there's an opportunity in a living room. And so we see that as an opportunity which is why we're going to be bringing more games to console coming up in 2018 and beyond.
209,209,"And when we closed that game or even after the launch of the game,"
210,210,implies a much longer period of play for customers.
211,211,We're much more interested in trying to figure out what will happen in a couple of years or over the period of a couple of years.
212,212,our capacity given how deep of a game it is. So that was -- that was something that we really had to scramble to make sure that we could handle. It looks like we're -- we've done a -- we're in a much better shape than we were a few days ago.
213,213,"first will make a blanket statement that may seem a little silly. But I think our industry sometimes gets hung up on individual topics that over the long term don't actually have a major impact,"
214,214,"people who play a lot of games, people who watch a lot of games, I had several discussions around the industry, and I think we're all watching this"
215,215,Please leave electronic interpreter device on the table when you leave.
216,216,This new acquisition is providing the group with a strong business platform in Texas that we intend to grow further. Synergies are already being captured and new revenue opportunities are created.
217,217,So this essentially is coming from an existing customer of Utility Partners that we already have for now almost a year in Texas.
218,218,This healthy diversification will continue to have a positive impact on the gross profit generated by this business pillar in the coming quarters.
219,219,Certain statements in this conference call and webcast may constitute forward-looking statements within the company of applicable securities law.
220,220,"These factors include, but are not limited to, the current significant general economic uncertainty and credit and financial market volatility and the distinctive characteristics of Vecima's operations"
221,221,"We have achieved interoperability with several of the top tier CCAP core vendors, and we've also demonstrated this to our customers."
222,222,"I'll start by reminding everyone that our results include the addition of the Concurrent business, which we brought onboard midway through the year."
223,223,"We have the technical and financial strength to continue pursuing our technology road map, and we have both the customer relationships and the track record to translate those technologies into profitable growth."
224,224,And have you been shortlisted at any of those 3 up until now? Or do you still have to go through that?
225,225,"And for the other 2, I guess at this point, it's maybe a little bit too early days to figure out whether they're"
226,226,and industry and customer demand that may have a material impact on or constitute risk factors in respect of Vecima's future financial performance
227,227,This is important because interoperability for these customers from being tied to a single vendor that may encounter technical challenges or resulting on unfavorable business terms.
228,228,"In our new Content Delivery and Storage segment, the highlight of the year was acquiring the asset with the Concurrent business and following up with a smooth integration and ramp-up."
229,229,"As a result, all comparisons will reflect Content Delivery and Storage numbers in the current quarter and current year and not in prior year."
230,230,A significant feature enhancement to the Laguna Cache is also expected to continue driving strong order flow. So we're looking at a year of continued growth for our Content Delivery and Storage operations.
231,231,going into the formal process towards trials and potential deployment. I'd still anticipate the larger operators are going to divide the market
232,232,That plays into the whole model that's being sought by the operators to decouple the core from the node.
233,233,I think we've got a very strong team there. We've got a very strong structure. It's driven by the good performance we've had in the first couple of quarters out of the gate. So that gives us comfort that
234,234,"belief or current expectations with respect to market and general economic conditions, future sales and revenue expectations, future costs and operating performance."
235,235,"At this time, I would like to turn the conference over to Mr. Kumar to proceed with his remarks. Please go ahead."
236,236,It's an essential transformation that will enable cable operators to compete in the new gigabit Internet speed environment.
237,237,We've also continued to demonstrate our technical agility as we keep pace with our customers' evolving needs. I believe we're positioned very strategically for this large and emerging market.
238,238,We expect the deployment of this upgrade to have a positive impact this fiscal year.
239,239,"In the meantime, we're continuing the lab trials and expect these to lead the formal trials in calendar 2019. Looking at some of our other product lines in the Video and Broadband Solutions segment."
240,240,"These are promising new opportunities that, over time, should help to offset the decline in legacy product sales."
241,241,"And as we move into fiscal 2019, I want to mention again that Vecima is now strongly positioned at the forefront of the 2 most significant market developments"
242,242,"as far as we can before having the chips and doing architectural and design work for the boards, but we need to take a fast path to adopting those chips."
243,243,our understanding is that the current set of vendors are being
244,244,The highlights provided in this call should be understood in conjunction with the company's audited consolidated financial statements
245,245,"In addition, although the forward-looking statements in this earnings call are based on what management believes are reasonable assumptions, such assumptions may prove to be incorrect."
246,246,Our distributed access node is the heart of our solution and provides the modular platform for deployment of multiple access technologies.
247,247,This increase was due to the operating results of our acquisition of Concurrent. Our
248,248,Turning to our Content Delivery and Storage segment. Our outlook remains very positive.
249,249,"Okay. That sounds good. And then I noticed in your press release, you talked about Entra being still in lab trials. So I guess"
250,250,"you'll be a supplier? Or just a question of are you first, second or third? Or do you still need to actually get selected for field and deployment?"
251,251,informal to this point. But we do believe that as they formalize the current view is that they may formalize around the current generation depending on timing. That could lead to
252,252,"This concludes today's conference call. You may disconnect your lines. Thank you for participating, and have a pleasant day."
253,253,may show some stability in the fiscal second half. So are you in your conversations with customers uncovering strong customer interest for either technology or
254,254,"mainly represented earnings from aircraft leasing, which is considered a global business."
255,255,"The performance of Free Duty was suppressed by rising costs and sluggish tourist spending,"
256,256,under our development strategy and expansion plan as illustrated
257,257,The strong performance of the construction business clearly stood out.
258,258,and further expanded the fleet size and value
259,259,the group will continue to leverage on its strong financial position to capitalize on growth opportunities.
260,260,"Both the group's environment platform are well equipped and positioned to capture the rising demand for environmental services in the region,"
261,261,A rising demand for integrated environmental services and supportive government policies will facilitate the long-term growth of the Environment segment.
262,262,has expanded swiftly over the past 3 years.
263,263,in developing an integrated aircraft leasing platform capable of providing a one-stop and comprehensive
264,264,by focusing on young and modern narrow-body aircraft and thorough risk assessments
265,265,"With that, I'll turn the call over to Greg for a more detailed review of the financial results."
266,266,Revenue was in line with our expectation for the quarter as insurance carriers began to re-extend budgets as it recovered from last year's severe industry loss ratios.
267,267,"is coming from Financial Services and home services. Both of those businesses have been growing at strong double-digit rates now for quite some time,"
268,268,best present and best match consumers to them in what other -- in whatever format they want to engage and whatever format consumers want to engage
269,269,"At this time, I would like to turn the conference over to Ms. Erica Abrams. Please go ahead."
270,270,Forward-looking statements are based on assumptions as of today and the company undertakes no duty to update these statements as a result of new information.
271,271,"We believe that trends in Education are improving, as demonstrated by sequential growth"
272,272,"on a performance basis, whether it be policies through the rating platform, which of course is a big part of that,"
273,273,We are seeing signs and trends of stabilization there driven by those efforts.
274,274,"or clicks, which of course, is the biggest part of the business, or calls or leads or other formats. But we want to continue to be able to best engage consumers and match them to the best client in the way that client wants to"
275,275,"or the high-intent consumers but they don't have our technology platform for best engaging, matching and monetizing those consumers"
276,276,"but I think if you step back to the broader case, John, we continue in insurance to focus on our technology for both"
277,277,and generating the media economics. And so that continues to be the drumbeat of emphasis here
278,278,and the margins on all of those businesses are expanding rapidly as we have put in place the new product -- the new generation of our product and technology
279,279,but unbranded or high -- or research and compare consumer on media flows on the Internet. So those will continue to be fanatically what we do. Partnerships where we can make the media yield better or partnerships with our clients where we can get them
280,280,I want to further highlight the importance of innovation to us. We are competing in an industry worth hundreds of billions of dollars worldwide.
281,281,"because it's a quick connect, modular and flexible medical gas connector integrated within the DIRTT systems and we believe it's the first."
282,282,"Our clients are recognizing that the traditional narrative of change orders, substandard quality, project delays and inflexibility does not have to be the norm. The truth is DIRTT is changing face of construction with innovative solutions and technology."
283,283,"your expectation or your hope for further upside of this contract, has anything changed in terms of your outlook and is it reasonable to think that this going from 5 to should increase further?"
284,284,"So this year, I mean in the past you've referenced sales mix and timing as factors that have really impacted. Is it fair to say that those things are still impactful, just quarter-over-quarter you didn't see it, compared to last year let's say?"
285,285,is the pipeline still at the record levels that have talked about in the last couple of quarters?
286,286,"on time. If it's renovation, obviously clients with us have the flexibility to wait until the last minute to make their final design decisions. So"
287,287,"they take a lot of feedback from clients, from our partners and there is a great -- like our clients are also our partners."
288,288,"Before we begin, I'll remind you that certain information on today's call, including responses to questions posed could constitute forward-looking statements that are subject to risks and uncertainties relating to DIRTT's future financial or business performance."
289,289,"We are now starting to really experience the benefits of these investments, not just with higher revenues and sales momentum, but also as evidenced by the innovations we've brought and are bringing to the interior construction industry."
290,290,We're aiming to release this development to the market in the first quarter of 2018. This is just one piece of what we believe will be the future of healthcare construction.
291,291,"And like any developing success story, our journey to this point has not been in a straight line."
292,292,"However, this is an important service for DIRTT as it helps us win more full solution projects."
293,293,"As Scott noted, we are built on a foundation of innovation and as such, we continue to invest in software and solutions development activities."
294,294,We don't really hear much when it comes to taxes or tax changes. These are growing organizations. They are always going to have capital spend. They are always innovating and they're always dealing with technology changes.
295,295,Is there any kind of read through as far as -- are you doing much smaller contracts for more customers who are willing to try you out?
296,296,"But the trend for us is, there are definitely a lot of -- especially in healthcare where we're getting medical office buildings and clinics,"
297,297,"Are you seeing any kind of resistance to signing contracts based on that? And could revenue growth have been even higher, if we didn't have any kind of concern about the environment?"
298,298,"if they were to maybe reduce their spending a little or little uncertainty, the market potential for us is still so big and they're realizing that the speed at which we can deliver our solutions, thereby allowing them to generate revenue faster"
299,299,"the fact is with our ICE software, we're taking that complexity and reducing it to the point where our clients"
300,300,"Actual results could differ materially from those anticipated in these forward-looking statements. Risk factors that may affect results are detailed in DIRTT's filings with the Canadian Securities Commission, which can be accessed at www.sedar.com."
301,301,"On that note, I'll now return specifically to healthcare and then further discuss some important trends in our business."
